song_id,language,singer,emotion_label,valence,arousal
hindi_Saibo,Hindi,Shreya Ghoshal & Tochi Raina,Romantic/Calm,0.8,0.3
hindi_Kun_Faya_Kun,Hindi,"A.R. Rahman, Javed Ali, Mohit Chauhan",Spiritual/Calm,0.6,0.3
hindi_Allah_Ke_Bande,Hindi,Kailash Kher,Motivational/Calm,0.7,0.4
hindi_Badtameez_Dil,Hindi,Benny Dayal,Happy/Energetic,0.95,0.9
hindi_Zinda,Hindi,Siddharth Mahadevan,Motivational/Energetic,0.7,0.9
hindi_Raabta,Hindi,Arijit Singh,Romantic,0.85,0.5
hindi_Kal_Ho_Naa_Ho,Hindi,Sonu Nigam,Emotional/Sad,0.3,0.4
hindi_Tera_Ban_Jaunga,Hindi,Akhil Sachdeva & Tulsi Kumar,Romantic,0.85,0.5
hindi_Jeene_Laga_Hoon,Hindi,Atif Aslam & Shreya Ghoshal,Romantic,0.9,0.5
hindi_Phir_Le_Aya_Dil,Hindi,Rekha Bhardwaj,Sad/Calm,0.3,0.3
hindi_Shayad,Hindi,Arijit Singh,Romantic,0.85,0.5
hindi_Janam_Janam,Hindi,Arijit Singh & Antara Mitra,Romantic/Emotional,0.7,0.6
hindi_Galliyan,Hindi,Ankit Tiwari,Romantic/Emotional,0.8,0.5
hindi_Samjhawan,Hindi,Arijit Singh & Shreya Ghoshal,Romantic/Sad,0.5,0.4
hindi_Pee_Loon,Hindi,Mohit Chauhan,Romantic,0.9,0.5
hindi_Mast_Magan,Hindi,Arijit Singh & Chinmayi,Romantic,0.85,0.5
hindi_Tera_Yaar_Hoon_Main,Hindi,Arijit Singh,Emotional/Friendship,0.6,0.5
hindi_Sooraj_Dooba_Hain,Hindi,Arijit Singh,Happy/Energetic,0.95,0.85
hindi_Ghungroo,Hindi,Arijit Singh & Shilpa Rao,Happy/Dance,0.9,0.8
hindi_Nashe_Si_Chadh_Gayi,Hindi,Arijit Singh,Energetic/Happy,0.85,0.9
hindi_Desi_Girl,Hindi,"Shankar Mahadevan, Sunidhi Chauhan",Happy/Energetic,0.9,0.8
hindi_Mitwa,Hindi,Shankar-Ehsaan-Loy,Romantic/Calm,0.8,0.5
hindi_Rang_De_Basanti,Hindi,Daler Mehndi & K.S. Chithra,Patriotic/Energetic,0.8,0.85
hindi_Vande_Mataram,Hindi,A.R. Rahman,Patriotic/Calm,0.7,0.6
