song_id,language,singer,valence,arousal,genre,main_genre
english_Lose_Yourself,English,Eminem,0.6,0.9,Hardcore Hip-Hop,Hip-Hop
english_Breathe_Me,English,Sia,0.25,0.2,Ambient Pop,Pop
english_Ode_to_Billie_Joe,English,Bobbie Gentry,0.4,0.3,Country Folk,Country
english_R_U_Mine,English,Arctic Monkeys,0.7,0.8,Alternative Rock,Rock
english_Rock_This_Town,English,Stray Cats,0.8,0.78,Rockabilly,Country
english_Something,English,The Beatles,0.85,0.5,Rock Ballad,Rock
english_Ain't_No_Mountain_High_Enough,English,Marvin Gaye & Tammi Terrell,0.9,0.85,Motown Soul,R&B
hindi_Iktara,Hindi,Kavita Seth,0.55,0.45,Indian Indie Folk,Country
hindi_Ghoomar,Hindi,"Shreya Ghoshal, Swaroop Khan",0.85,0.8,Rajasthani Folk Dance,Country
english_My_Only_Angel,English,Aerosmith & YUNGBLUD,0.9,0.9,Indie Pop,Pop
english_APT.,English,RosÃ© & Bruno Mars,0.8,0.85,Electropop,Electronic
english_It_Never_Entered_My_Mind,English,Miles Davis,0.4,0.25,Cool Jazz,Jazz
english_Riptide,English,Vance Joy,0.7,0.6,Indie Folk,Country
english_Autumn_Leaves,English,Chet Baker,0.35,0.3,Jazz Standard,Jazz
english_So_Beautiful,English,Musiq Soulchild,0.75,0.35,Hip-Hop Soul,R&B
english_No_Scrubs,English,TLC,0.75,0.7,R&B Pop,R&B
english_Black_Hole_Sun,English,Soundgarden,0.6,0.7,Grunge,Rock
english_Chicken_Fried,English,Zac Brown Band,0.88,0.65,Country,Country
english_Radioactive,English,Imagine Dragons,0.6,0.9,Alternative Electronic Rock,Rock
english_A_Natural_Woman,English,Aretha Franklin,0.55,0.4,Soul,R&B
english_By_Myself,English,Linkin Park,0.4,0.9,Rap Metal,Hip-Hop
english_What_Was_I_Made_For,English,Billie Eilish,0.2,0.2,Pop Ballad,Pop
hindi_Kabhi_Kabhi_Aditi,Hindi,Rashid Ali,0.7,0.8,Bollywood Indie Pop,Pop
english_Compared_to_What,English,Les McCann & Eddie Harris,0.77,0.68,Soul Jazz,Jazz
english_I'm_Glad_There_Is_You,English,Julie London,0.32,0.26,Cool Jazz,Jazz
english_Come_Down,English,Anderson .Paak,0.8,0.85,Neo-Soul Funk Pop,R&B
english_Willow,English,Taylor Swift,0.7,0.6,Folk Pop,Pop
english_Viva_La_Vida,English,Coldplay,0.8,0.7,Baroque Pop,Pop
hindi_Tera_Yaar_Hoon_Main,Hindi,Arijit Singh,0.6,0.5,Indian Film Friendship Ballad,Pop
english_Weapon_of_Choice,English,Fatboy Slim,0.75,0.85,Big Beat,Electronic
english_Rivers_and_Roads,English,The Head and the Heart,0.45,0.4,Indie Folk,Country
english_Nothing_Else_Matters,English,Metallica,0.25,0.5,Heavy Metal Ballad,Rock
english_Amsterdam,English,Nothing But Thieves,0.55,0.7,Indie Rock,Rock
english_Carry_On_Wayward_Son,English,Kansas,0.75,0.8,Progressive Rock,Rock
english_Runaway_(U_&_I),English,Galantis,0.75,0.7,Progressive House,Electronic
hindi_Aye_Ri_Sakhi_More_Piya_Ghar_Aaye,Hindi,Kavita Krishnamurthy,0.36,0.28,Indian Film Classical Ballad,Classical
english_My_Foolish_Heart,English,Bill Evans,0.4,0.25,Cool Jazz,Jazz
english_I_Will_Always_Love_You,English,Whitney Houston,0.3,0.4,Soul Pop Ballad,R&B
english_Viva_Forever,English,Spice Girls,0.6,0.4,Pop Ballad,Pop
english_Halo,English,BeyoncÃ©,0.7,0.55,Pop Soul,R&B
english_Ring_of_Fire,English,Johnny Cash,0.7,0.6,Country,Country
english_Three_Little_Birds,English,Bob Marley & The Wailers,0.85,0.55,Reggae,R&B
punjabi_Mast_Qalandar,Punjabi,Nusrat Fateh Ali Khan,0.48,0.4,Sufi Devotional,Classical
english_Supercut,English,Lorde,0.55,0.65,Synth Pop,Pop
english_Back_to_Black,English,Amy Winehouse,0.3,0.5,Soul Jazz,Jazz
english_Ain't_No_Stoppin'_Us_Now,English,McFadden & Whitehead,0.9,0.8,Post-Disco,R&B
hindi_Jaane_Woh_Kaise_Log_The,Hindi,Hemant Kumar,0.22,0.2,Indian Film Ghazal,Classical
english_Blue_in_Green,English,Miles Davis,0.35,0.25,Modal Jazz,Jazz
english_New_Slang,English,The Shins,0.45,0.4,Indie Folk,Country
english_Temperature,English,Sean Paul,0.9,0.9,Reggae Fusion,R&B
english_Everlong,English,Foo Fighters,0.6,0.7,Alternative Rock,Rock
english_These_Arms_of_Mine,English,Otis Redding,0.45,0.3,Country Soul,R&B
english_Positions,English,Ariana Grande,0.7,0.6,R&B Pop,R&B
english_Creep,English,Radiohead,0.2,0.5,Alternative Rock,Rock
english_If_I_Ain't_Got_You,English,Alicia Keys,0.55,0.4,Pop Soul,R&B
english_Fly_Away,English,Lenny Kravitz,0.85,0.85,Funk Rock,R&B
english_I_Know,English,Fiona Apple,0.3,0.4,Indie Folk,Country
english_Tears_in_Heaven,English,Eric Clapton,0.15,0.25,Soft Rock Ballad,Rock
english_Dark_Horse,English,Katy Perry ft. Juicy J,0.7,0.8,Electropop,Electronic
english_Emmylou,English,First Aid Kit,0.6,0.55,Indie Folk,Country
english_See_You_Again,English,Wiz Khalifa ft. Charlie Puth,0.55,0.5,Pop Rap,Hip-Hop
marathi_Zingaat,Marathi,Ajay-Atul,0.9,0.9,Marathi Folk Dance,Country
english_Wrecking_Ball,English,Miley Cyrus,0.4,0.6,Pop Ballad,Pop
english_Shotgun,English,George Ezra,0.9,0.8,Pop Folk,Country
english_Bloom,English,The Paper Kites,0.55,0.45,Dream Pop,Pop
english_You_Don't_Know_What_Love_Is,English,Dinah Washington,0.3,0.24,Jazz Ballad,Jazz
english_Bat_Country,English,Avenged Sevenfold,0.55,0.8,Heavy Metal,Rock
english_Hey_Ya!,English,Outkast,0.95,0.85,Pop Funk,R&B
english_Brown_Eyed_Girl,English,Van Morrison,0.75,0.8,Folk Rock,Rock
english_After_the_Storm,English,"Kali Uchis ft. Tyler, The Creator",0.65,0.55,Neo-Soul,R&B
english_Bad_Liar,English,Imagine Dragons,0.58,0.68,Electronic Pop,Electronic
english_Duality,English,Slipknot,0.35,0.95,Nu Metal,Rock
english_Round_Midnight,English,Thelonious Monk,0.3,0.25,Jazz Standard,Jazz
english_Takin'_Care_of_Business,English,Bachman-Turner Overdrive,0.75,0.8,Classic Rock,Rock
english_Lucid_Dreams,English,Juice WRLD,0.4,0.6,Pop Rap,Hip-Hop
english_Midnight_City,English,M83,0.8,0.7,Synth Pop,Pop
hindi_Besharam_Rang,Hindi,"Shilpa Rao, Caralisa Monteiro",0.88,0.85,Bollywood Dance Pop,Pop
hindi_Tum_Hi_Ho,Hindi,Arijit Singh,0.8,0.4,Indian Film Romantic Ballad,Pop
hindi_Humsafar,Hindi,Akhil Sachdeva,0.5,0.45,Indian Film Romantic Ballad,Pop
english_Oxford_Comma,English,Vampire Weekend,0.75,0.65,Indie Pop,Pop
english_Senorita,English,"Shawn Mendes, Camila Cabello",0.7,0.6,Latin Pop,Pop
"english_A_Love_Supreme,_Part_I_â_Acknowledgement",English,John Coltrane,0.65,0.55,Modal Jazz,Jazz
hindi_Naatu_Naatu,Hindi,"Rahul Sipligunj, Kaala Bhairava",0.9,0.95,Telugu Folk Dance,Country
english_No_Woman_No_Cry,English,Bob Marley,0.6,0.6,Reggae,R&B
english_Life_Is_Good,English,Future ft. Drake,0.7,0.75,Trap Hip-Hop,Hip-Hop
english_Rock_Superstar,English,Cypress Hill,0.65,0.85,Rap Rock,Hip-Hop
english_Lady_May,English,Tyler Childers,0.6,0.3,Country Folk,Country
english_Girl_Crush,English,Little Big Town,0.25,0.25,Country Pop,Country
english_Just_the_Two_of_Us,English,Bill Withers & Grover Washington Jr.,0.75,0.45,Blue-Eyed Soul,R&B
english_Last_Night,English,Morgan Wallen,0.7,0.6,Country Pop,Country
english_Put_Your_Records_On,English,Corinne Bailey Rae,0.85,0.45,Neo-Soul Funk Pop,R&B
hindi_Swag_Se_Swagat,Hindi,Vishal Dadlani & Neha Bhasin,0.88,0.85,Bollywood Dance Pop,Pop
hindi_Koi_Fariyaad,Hindi,Jagjit Singh,0.22,0.25,Indian Film Ghazal,Classical
english_Somebody_That_I_Used_to_Know,English,Gotye feat. Kimbra,0.3,0.4,Indie Pop,Pop
english_Billie_Jean,English,Michael Jackson,0.9,0.8,Post-Disco,R&B
english_Cellophane,English,FKA twigs,0.2,0.35,Alternative R&B,R&B
english_If_I_Ruled_the_World_(Imagine_That),English,Nas ft. Lauryn Hill,0.7,0.6,Hip-Hop Soul,R&B
english_Love_Lockdown,English,Kanye West,0.6,0.7,Hip-Hop R&B,R&B
hindi_Bom_Diggy_Diggy,Hindi,Zack Knight & Jasmin Walia,0.9,0.9,Bollywood Dance Pop,Pop
english_Chasing_Cars,English,Snow Patrol,0.4,0.3,Alternative Rock Ballad,Rock
english_Watermelon_Man,English,Herbie Hancock,0.6,0.6,Jazz Funk,Jazz
english_Hurt,English,Johnny Cash,0.2,0.35,Alternative Rock,Rock
english_Black_Coffee,English,Peggy Lee,0.29,0.23,Jazz Ballad,Jazz
english_West_End_Girls,English,Pet Shop Boys,0.65,0.6,Synth Pop,Pop
english_Another_Love,English,Tom Odell,0.35,0.5,Indie Pop,Pop
english_The_Chair,English,George Strait,0.55,0.4,Country Ballad,Country
english_Cold_Little_Heart,English,Michael Kiwanuka,0.4,0.45,Psychedelic Soul,R&B
english_Cheap_Thrills,English,Sia,0.9,0.8,Dance Pop,Pop
english_Creepin',English,"Metro Boomin, The Weeknd, 21 Savage",0.3,0.6,R&B,R&B
english_The_Winner_Takes_It_All,English,ABBA,0.3,0.4,Pop Ballad,Pop
hindi_Bhor_Bhaye_Panghat_Pe,Hindi,Lata Mangeshkar,0.34,0.27,Indian Film Classical Ballad,Classical
english_Hate_It_or_Love_It,English,The Game ft. 50 Cent,0.6,0.75,West Coast Hip-Hop,Hip-Hop
english_Dynamite,English,BTS,0.9,0.8,Disco Pop,Pop
english_Ocean_Eyes,English,Billie Eilish,0.35,0.45,Dream Pop,Pop
english_Bad_Moon_Rising,English,Creedence Clearwater Revival,0.65,0.75,Roots Rock,Country
english_Ends_of_the_Earth,English,Lord Huron,0.65,0.55,Indie Folk,Country
english_Old_Town_Road_(Remix),English,Lil Nas X ft. Billy Ray Cyrus,0.85,0.75,Pop Rap,Hip-Hop
english_We_Found_Love,English,Rihanna ft. Calvin Harris,0.9,0.85,R&B Pop,R&B
english_Cannonball,English,Showtek & Justin Prime,0.74,0.96,Big Room House,Electronic
punjabi_Allah_Hoo,Punjabi,Nusrat Fateh Ali Khan,0.46,0.36,Sufi Devotional,Classical
english_Ride_Through_the_Country,English,Colt Ford ft. John Michael Montgomery,0.65,0.7,Hip-Hop,Hip-Hop
english_XO_TOUR_Llif3,English,Lil Uzi Vert,0.45,0.85,Trap Hip-Hop,Hip-Hop
english_Mountain_Sound,English,Of Monsters and Men,0.73,0.68,Indie Folk Rock,Country
english_Oye_Como_Va,English,Tito Puente,0.9,0.88,Afro-Cuban Jazz,Jazz
english_Re_Definition,English,Black Star,0.6,0.65,Alternative Hip-Hop,Hip-Hop
english_A_Change_Is_Gonna_Come,English,Sam Cooke,0.5,0.4,Country Soul,R&B
"english_If_I_Go,_I'm_Goin",English,Gregory Alan Isakov,0.38,0.34,Indie Folk,Country
english_Let_It_Go_(Acoustic),English,James Bay,0.46,0.47,Pop Ballad,Pop
english_Stan,English,Eminem,0.25,0.45,Hip-Hop,Hip-Hop
english_What’s_My_Name,English,DMX,0.4,0.88,Hardcore Hip-Hop,Hip-Hop
english_Numb,English,Linkin Park,0.2,0.8,Alternative Metal,Rock
english_Moanin',English,Art Blakey & The Jazz Messengers,0.7,0.6,Hard Bop,Jazz
english_Country_Grammar,English,Nelly,0.7,0.75,Hip-Hop,Hip-Hop
hindi_Ka_Karoon_Sajni_Aaye_Na_Balam,Hindi,Yesudas,0.32,0.24,Indian Classical,Classical
english_Nose_on_the_Grindstone,English,Tyler Childers,0.35,0.3,Country Folk,Country
hindi_Raghupati_Raghav_Raja_Ram,Hindi,Kavita Krishnamurthy,0.45,0.3,Hindu Devotional,Classical
english_White_Winter_Hymnal,English,Fleet Foxes,0.55,0.5,Indie Folk,Country
hindi_O_Haseena_Zulfonwali,Hindi,"Asha Bhosle, Mohammed Rafi",0.8,0.9,Bollywood Rock and Roll,Rock
english_It_Ain't_Me,English,Kygo & Selena Gomez,0.72,0.7,Electronic Dance Pop,Electronic
hindi_Saibo,Hindi,Shreya Ghoshal & Tochi Raina,0.8,0.3,Indian Indie Romantic Ballad,Pop
english_Somewhere_Only_We_Know,English,Keane,0.6,0.55,Alternative Rock,Rock
english_Save_a_Horse_(Ride_a_Cowboy),English,Big & Rich,0.8,0.88,Country Dance,Country
english_Luther,English,Kendrick Lamar ft. SZA,0.7,0.65,Indie Folk,Country
english_Ex-Factor,English,Lauryn Hill,0.45,0.35,Hip-Hop Soul,R&B
english_Blue_Ridge_Mountains,English,Fleet Foxes,0.5,0.45,Indie Folk,Country
english_Pink_+_White,English,Frank Ocean,0.55,0.4,Alternative R&B,R&B
hindi_Piya_O_Re_Piya,Hindi,"Atif Aslam, Shreya Ghoshal",0.49,0.43,Indian Film Sufi Ballad,Classical
english_Cruise_(Remix),English,Florida Georgia Line ft. Nelly,0.75,0.7,Country Rap,Hip-Hop
english_Girls,English,The Prodigy,0.6,0.88,Big Beat,Electronic
english_We_Dont_Talk_Anymore,English,Charlie Puth ft. Selena Gomez,0.4,0.5,Tropical Pop,Pop
hindi_Mann_Bharrya,Hindi,B Praak,0.15,0.4,Punjabi Folk Pop,Country
"english_No_Woman,_No_Cry",English,Bob Marley & The Wailers,0.6,0.45,Reggae,R&B
english_Let_It_Be,English,The Beatles,0.7,0.4,Soft Rock,Rock
english_In_the_Mood,English,Glenn Miller,0.9,0.88,Swing Jazz,Jazz
english_Tadow,English,Masego & FKJ,0.65,0.55,Jazz Rap,Jazz
english_Yellow,English,Coldplay,0.55,0.75,Alternative Rock,Rock
english_Silhouettes,English,Avicii,0.65,0.82,Electronic,Electronic
english_Because_of_You,English,Kelly Clarkson,0.3,0.5,Pop Rock Ballad,Rock
english_Fix_You,English,Coldplay,0.4,0.3,Alternative Rock Ballad,Rock
hindi_Tum_Itna_Jo_Muskura_Rahe_Ho,Hindi,Jagjit Singh,0.42,0.32,Indian Classical Ghazal,Classical
english_Life_Is_a_Highway,English,Rascal Flatts,0.9,0.8,Pop Rock,Rock
english_Feels_So_Good,English,Chuck Mangione,0.8,0.6,Smooth Jazz,Jazz
english_I_Found,English,Amber Run,0.25,0.4,Indie Pop,Pop
english_Still_Not_a_Player,English,Big Pun,0.45,0.8,Hardcore Hip-Hop,Hip-Hop
english_Keep_Their_Heads_Ringin',English,Dr. Dre,0.75,0.88,West Coast Hip-Hop,Hip-Hop
english_Mask_Off,English,Future,0.55,0.8,Trap Hip-Hop,Hip-Hop
hindi_Pyaar_Ke_Pal,Hindi,KK,0.7,0.5,Indian Indie Rock,Rock
english_Sweat_(A_La_La_La_La_Long),English,Inner Circle,0.9,0.7,Reggae,R&B
english_Thrift_Shop,English,Macklemore & Ryan Lewis,0.85,0.8,Pop Rap,Hip-Hop
hindi_Khwaja_Mere_Khwaja,Hindi,A.R. Rahman,0.45,0.35,Sufi Devotional,Classical
english_Ventura_Highway,English,America,0.7,0.6,Soft Rock,Rock
english_Take_It_Easy,English,Eagles,0.7,0.65,Roots Rock,Country
hindi_High_Rated_Gabru,Hindi,Guru Randhawa,0.88,0.85,Punjabi Pop,Pop
english_Umbrella,English,Rihanna ft. Jay-Z,0.8,0.75,R&B Pop,R&B
english_While_We're_Young,English,JhenÃ© Aiko,0.73,0.53,Pop,Pop
hindi_Mujhe_Budhha_Mil_Gaya,Hindi,Lata Mangeshkar,0.5,0.4,Bollywood Comedy Song,Pop
english_High_Hopes,English,Kodaline,0.8,0.75,Pop Rock,Rock
english_Scary_Monsters_and_Nice_Sprites,English,Skrillex,0.6,0.95,Dubstep,Electronic
english_Firestarter,English,The Prodigy,0.6,0.95,Big Beat,Electronic
english_Till_It's_Gone,English,Yelawolf,0.5,0.75,Country Rap,Hip-Hop
english_He_Stopped_Loving_Her_Today,English,George Jones,0.1,0.2,Country Ballad,Country
english_Simple_Man,English,Lynyrd Skynyrd,0.6,0.5,Southern Rock,Country
english_I_Want_to_Break_Free,English,Queen,0.85,0.8,Pop Rock,Rock
english_Geronimo,English,Sheppard,0.78,0.75,Pop Rock,Rock
english_Some_Nights,English,fun.,0.65,0.8,Indie Pop,Pop
english_I_Will_Survive,English,Gloria Gaynor,0.7,0.6,Disco,R&B
english_No_Money,English,Galantis,0.8,0.82,Progressive House,Electronic
english_Psychosocial,English,Slipknot,0.38,0.94,Heavy Metal,Rock
english_Ghosts_n_Stuff,English,Deadmau5,0.65,0.9,Electro House,Electronic
english_Shuggie,English,Foxygen,0.65,0.7,Indie Rock,Rock
english_Complicated,English,Avril Lavigne,0.75,0.7,Pop Rock,Rock
english_Born_Again,English,Lisa ft. Doja Cat and Raye,0.88,0.85,Pop Rock,Rock
english_Let_Her_Go,English,Passenger,0.2,0.45,Folk Pop,Pop
english_That'll_Be_the_Day,English,Buddy Holly,0.78,0.75,Rockabilly,Country
english_Vampire,English,Olivia Rodrigo,0.9,0.9,Pop Rock,Rock
english_Ball_of_Confusion,English,The Temptations,0.55,0.75,Psychedelic Soul,R&B
english_Faded,English,Alan Walker,0.65,0.72,Electronic Dance Pop,Electronic
english_Lean_On,English,Major Lazer & DJ Snake,0.85,0.8,Tropical House,Electronic
english_Mess_Is_Mine,English,Vance Joy,0.65,0.55,Indie Folk,Country
english_Featherstone,English,The Paper Kites,0.55,0.5,Indie Folk,Country
english_Treasure,English,Bruno Mars,0.9,0.8,Funk Pop,R&B
hindi_Dooba_Dooba,Hindi,Silk Route,0.65,0.55,Indian Indie Pop,Pop
english_Heartless,English,Kanye West,0.4,0.7,Hip-Hop,Hip-Hop
english_My_One_and_Only_Love,English,John Coltrane & Johnny Hartman,0.34,0.25,Jazz Ballad,Jazz
hindi_Jag_Mein_Sundar_Hai_Do_Naam,Hindi,Anup Jalota,0.5,0.35,Hindu Devotional,Classical
hindi_Baiyan_Na_Dharo,Hindi,Lata Mangeshkar,0.3,0.28,Indian Classical,Classical
english_Hold_On,English,Chord Overstreet,0.3,0.4,Indie Pop,Pop
hindi_Zikr,Hindi,A.R. Rahman,0.43,0.37,Indian Film Sufi Ballad,Classical
english_Glory_Box,English,Portishead,0.4,0.3,Trip Hop,Electronic
hindi_Phir_Bhi_Tumko_Chaahunga,Hindi,Arijit Singh,0.3,0.35,Indian Film Sad Ballad,Classical
hindi_O_Saki_Saki,Hindi,"Neha Kakkar, Tulsi Kumar",0.8,0.8,Bollywood Dance Pop,Pop
english_The_Nearness_of_You,English,Sarah Vaughan,0.48,0.38,Jazz Vocal,Jazz
english_Moonlight,English,Kali Uchis,0.8,0.8,Indie Pop,Pop
english_Cheerleader_(Remix),English,OMI,0.9,0.7,Reggae Fusion,R&B
english_Where_the_Stars_and_Stripes_and_the_Eagle_Fly,English,Aaron Tippin,0.65,0.6,Patriotic Country,Country
english_Roses_(Imanbek_Remix),English,SAINt JHN,0.8,0.85,Pop Rap,Hip-Hop
english_Skylark,English,Carmen McRae,0.48,0.32,Cool Jazz,Jazz
english_Heat_Waves,English,Glass Animals,0.6,0.5,Indie Pop,Pop
english_No_Role_Modelz,English,J. Cole,0.65,0.7,Trap Hip-Hop,Hip-Hop
english_Gin_and_Juice,English,Snoop Dogg,0.8,0.7,West Coast Hip-Hop,Hip-Hop
english_Love_Yourself,English,Justin Bieber,0.4,0.3,Acoustic Pop Ballad,Pop
english_Ignition_(Remix),English,R. Kelly,0.85,0.85,Hip-Hop R&B,R&B
english_Give_It_Away,English,Red Hot Chili Peppers,0.75,0.85,Rap Rock,Hip-Hop
english_Rehab,English,Amy Winehouse,0.8,0.75,Soul Pop,R&B
english_You_Belong_With_Me,English,Taylor Swift,0.85,0.7,Country Pop,Country
english_The_Sound_of_Silence,English,Simon & Garfunkel,0.2,0.25,Folk Rock,Rock
english_Un-break_My_Heart,English,Toni Braxton,0.35,0.45,Pop Ballad,Pop
english_Circles,English,Post Malone,0.6,0.5,Pop Rock,Rock
hindi_Phir_Le_Aya_Dil,Hindi,Rekha Bhardwaj,0.3,0.3,Indian Film Ghazal,Classical
english_Saturn,English,Sleeping At Last,0.25,0.35,Indie Folk,Country
hindi_Ab_Ke_Sawan_Ghar_Aaja,Hindi,Begum Akhtar / Girija Devi (audio available),0.33,0.26,Indian Classical Thumri,Classical
english_Turn_Me_On,English,Kevin Lyttle,0.85,0.75,Reggae Fusion,R&B
english_Hotel_California,English,Eagles,0.75,0.6,Soft Rock,Rock
hindi_Shiv_Tandav_Stotram,Hindi,Ravindra Sathe,0.4,0.6,Hindu Devotional,Classical
english_To_Love_Somebody,English,Bee Gees,0.8,0.7,Blue-Eyed Soul,R&B
english_Spectrum,English,Zedd ft. Matthew Koma,0.75,0.7,Electro House,Electronic
english_London_Calling,English,The Clash,0.8,0.85,Punk Rock,Rock
hindi_Samjhawan,Hindi,Arijit Singh & Shreya Ghoshal,0.5,0.4,Indian Film Romantic Ballad,Pop
english_Keep_Your_Head_Up,English,Ben Howard,0.65,0.55,Pop Soul,R&B
english_It_Don't_Mean_a_Thing_(If_It_Ain't_Got_That_Swing),English,Duke Ellington,0.8,0.7,Swing Jazz,Jazz
english_Patience,English,Guns Nâ Roses,0.35,0.35,Hard Rock Ballad,Rock
english_Have_Love_Will_Travel,English,The Sonics,0.72,0.68,Roots Rock,Country
hindi_Rehna_Tu,Hindi,A.R. Rahman,0.55,0.5,Indian Film Romantic Ballad,Pop
english_Anchor,English,Novo Amor,0.2,0.3,Indie Folk,Country
hindi_Chaleya,Hindi,"Arijit Singh, Shilpa Rao",0.8,0.5,Indian Film Romantic Ballad,Pop
english_Butterfly,English,Herbie Hancock,0.5,0.45,Smooth Jazz,Jazz
english_You_Go_to_My_Head,English,Billie Holiday,0.33,0.27,Jazz Ballad,Jazz
english_Chain_of_Fools,English,Aretha Franklin,0.7,0.55,Retro Soul,R&B
hindi_Ae_Dil_Hai_Mushkil_(Title_Track),Hindi,Arijit Singh,0.3,0.5,Indian Film Romantic Ballad,Pop
english_You’re_Beautiful,English,James Blunt,0.5,0.4,Pop Ballad,Pop
hindi_Lag_Ja_Gale,Hindi,Lata Mangeshkar,0.2,0.3,Indian Film Ghazal,Classical
hindi_Kabhi_Kabhi_Mere_Dil_Mein,Hindi,Mukesh,0.4,0.3,Indian Film Romantic Ballad,Pop
english_Happier_Than_Ever,English,Billie Eilish,0.3,0.4,Alternative Rock,Rock
english_We_Will_Rock_You,English,Queen,0.9,0.85,Arena Rock,Rock
english_The_Logical_Song,English,Supertramp,0.6,0.55,Progressive Pop,Electronic
english_Break_Stuff,English,Limp Bizkit,0.3,0.95,Rap Metal,Hip-Hop
english_Adagio_for_Strings,English,TiÃ«sto,0.55,0.7,Classical,Classical
english_Take_This_Job_and_Shove_It,English,Johnny Paycheck,0.6,0.65,Country Rock,Country
english_This_Is_What_You_Came_For,English,Calvin Harris ft. Rihanna,0.8,0.82,Electronic Dance Pop,Electronic
english_Rumble,English,Excision & Space Laces,0.52,0.98,Dubstep,Electronic
english_Thinkin_Bout_You,English,Frank Ocean,0.55,0.45,Alternative R&B,R&B
english_Ain't_No_Sunshine,English,Bill Withers,0.35,0.3,R&B Soul,R&B
english_Shake_It_Off,English,Taylor Swift,0.95,0.85,Dance Pop,Pop
